Tissue,Muscles,Anatomy,muscle tissue
Tissue,myometrium,Anatomy,myometrium
BodyRegion,nasal cavity,Anatomy,nasal cavity
BodyRegion,nasopharynx,Anatomy,nasopharynx
Tissue,nerve,Anatomy,nerve
NervousSystem,Nervous System,Anatomy,nervous system
Tissue,neural crest,Anatomy,neural crest
Tissue,neural tube,Anatomy,neural tube
Tissue,neuroepithelium,Anatomy,sensory epithelium
BodyRegion,nose,Anatomy,olfactory apparatus
BodyRegion,nucleus accumbens,Anatomy,nucleus accumbens
BodyRegion,olfactory bulb,Anatomy,olfactory bulb
Tissue,olfactory epithelium,Anatomy,olfactory epithelium
BodyRegion,outer medullary collecting duct,Anatomy,outer medullary collecting duct
UrogenitalSystem,Ovary,Anatomy,female gonad
BodyRegion,oviduct,Anatomy,oviduct
DigestiveSystem,Pancreas,Anatomy,pancreas
BodyRegion,pancreatic islet,Anatomy,islet of Langerhans
BodyRegion,parathyroid gland,Anatomy,parathyroid gland
Tissue,parenchyma,Anatomy,parenchyma
BodyRegion,parotid gland,Anatomy,parotid gland
BodyRegion,penis,Anatomy,penis
BodyRegion,peripheral nervous system,Anatomy,peripheral nervous system
BodyRegion,peritoneum,Anatomy,peritoneum
BodyRegion,pituitary gland,Anatomy,pituitary gland
BodyRegion,placenta,Anatomy,placenta
Tissue,plasma,Anatomy,blood plasma
BodyRegion,pregnant uterus,Anatomy,gravid uterus
BodyRegion,prostate gland,Anatomy,prostate gland
RespiratorySystem,Pulmonary Alveoli,Anatomy,alveolus of lung
BodyRegion,purkinje fibers,Anatomy,purkinje fiber
BodyRegion,rectum,Anatomy,rectum
Tissue,rectus abdominis muscle,Anatomy,rectus abdominis muscle
Tissue,renal cortex,Anatomy,cortex of kidney
Tissue,renal medulla,Anatomy,renal medulla
RespiratorySystem,Respiratory Mucosa,Anatomy,respiratory system mucosa
BodyRegion,respiratory system,Anatomy,respiratory system
BodyRegion,retina,Anatomy,retina
BodyRegion,Saliva,Anatomy,saliva
BodyRegion,salivary gland,Anatomy,salivary gland
BodyRegion,sciatic nerve,Anatomy,sciatic nerve
BodyRegion,semicircular canal,Anatomy,semicircular canal
Tissue,serum,Anatomy,serum
BodyRegion,sinoatrial node,Anatomy,sinoatrial node
IntegumentarySystem,Skin,Anatomy,zone of skin
Tissue,slow twitch muscle,Anatomy,slow muscle tissue
BodyRegion,small intestine,Anatomy,small intestine
BodyRegion,spinal cord,Anatomy,spinal cord
BodyRegion,spleen,Anatomy,spleen
BodyRegion,sputum,Anatomy,sputum
BodyRegion,stomach,Anatomy,stomach
Tissue,striated muscle,Anatomy,striated muscle tissue
Tissue,striatum,Anatomy,striatum
Tissue,stroma,Anatomy,stroma
Tissue,Subcutaneous adipose,Anatomy,subcutaneous adipose tissue
BodyRegion,submandibular gland,Anatomy,submandibular gland
Tissue,sympathetic ganglion,Anatomy,sympathetic ganglion
BodyRegion,tear fluid,Anatomy,lacrimal gland secretion
BodyRegion,testicle,Anatomy,testis
BodyRegion,thalamus,Anatomy,dorsal plus ventral thalamus
BodyRegion,thymus,Anatomy,thymus
Tissue,thyroid,Anatomy,thyroid gland
BodyRegion,thyroid gland,Anatomy,thyroid gland
BodyRegion,tibia,Anatomy,tibia
BodyRegion,tongue,Anatomy,tongue
BodyRegion,tooth,Anatomy,calcareous tooth
BodyRegion,trabecular meshwork,Anatomy,reticulum trabeculare
BodyRegion,trachea,Anatomy,trachea
BodyRegion,urinary tract,Anatomy,renal system
BodyRegion,Urine,Anatomy,urine
Tissue,uterine stroma,Anatomy,endometrial stroma
UrogenitalSystem,Uterus,Anatomy,uterus
BodyRegion,vagina,Anatomy,vagina
Tissue,vascular smooth muscle,Anatomy,blood vessel smooth muscle
Tissue,vascular tissue,Anatomy,cardiovascular system
BodyRegion,vein,Anatomy,vein
BodyRegion,ventricle,Anatomy,cardiac ventricle
BodyRegion,venule,Anatomy,venule
Tissue,Visceral adipose,Anatomy,adipose tissue of abdominal region
Tissue,white adipose,Anatomy,white adipose tissue
Tissue,whole blood,Anatomy,blood
BodyRegion,whole body,Anatomy,multi-cellular organism
BodyRegion,yolk sac,Anatomy,yolk sac
Tissue,carcinoma,Disease,carcinoma
BodyRegion,Carcinoma of embryo,Disease,embryonal carcinoma
BodyRegion,cochlear outer hair,Cell,outer hair cell
Tissue,DN3 thymocyte,Cell,DN3 thymocyte
Tissue,endothelial progenitor cell,Cell,adult endothelial progenitor cell
CardiovascularSystem,Microvessels,Anatomy,microcirculatory vessel
Tissue,myofibril,CellStructure,Myofibrils
BodyRegion,neuron,Cell,neuron
Tissue,synovium,Anatomy,synovial membrane of synovial joint
Disease,acute lymphoblastic leukemia,Disease,acute lymphocytic leukemia
Disease,acute myelogenous leukemia,Disease,acute myeloid leukemia
Disease,Adenocarcinoma,Disease,adenocarcinoma
Disease,adenoma,Disease,adenoma
Disease,alveolar rhabdomyosarcoma,Disease,alveolar rhabdomyosarcoma
Disease,Alzheimers disease,Disease,Alzheimer's disease
Disease,anaplastic large cell lymphoma,Disease,anaplastic large cell lymphoma
Disease,anemia,Disease,anemia
Disease,aneurysm formation,Disease,aneurysm disease
Disease,Asthma,Disease,asthma
Disease,astrocytoma,Disease,astrocytoma
Disease,Atherogenesis,Disease,atherosclerosis
Disease,Atherosclerosis,Disease,atherosclerosis
Disease,Autoimmunity,Disease,hypersensitivity reaction type II disease
Disease,B cell lymphoma,Disease,B-cell lymphocytic neoplasm
Disease,Barrett Esophagus,Disease,Barrett's esophagus
Disease,B-Cell Chronic Lymphocytic Leukemia,Disease,chronic lymphocytic leukemia
